Date,Open,High,Low,Close,Adj Close,Volume
7/30/02,81.75,81.900002,81.519997,81.519997,43.295902,6100
7/31/02,81.949997,82.800003,81.900002,82.529999,43.832344,29400
8/1/02,82.540001,83.019997,82.540001,83,44.081959,25000
8/2/02,83.160004,84.099998,82.879997,83.849998,44.533382,52800
8/5/02,84.040001,84.440002,83.849998,84.220001,44.729904,61100
8/6/02,83.870003,83.900002,83.220001,83.5,44.347523,64900
8/7/02,83.599998,84.139999,83.360001,83.699997,44.453743,40300
8/8/02,83.580002,83.769997,83.360001,83.699997,44.453743,40900
8/9/02,84,84.879997,84,84.879997,45.08046,35900
8/12/02,85.300003,86.699997,85.139999,85.400002,45.35664,32100
8/13/02,85.779999,86.470001,85.370003,86.449997,45.914265,75400
8/14/02,87.459999,87.900002,86.75,86.779999,46.089561,130000
8/15/02,86.379997,86.5,85.849998,86.019997,45.685902,87100
8/16/02,86.440002,86.519997,84.82,85.059998,45.175999,85000
8/19/02,85.050003,85.339996,84.709999,85.32,45.31411,47300
8/20/02,85.620003,86.290001,85.599998,86.269997,45.818649,40800
8/21/02,85.68,86.099998,85.629997,85.809998,45.574375,40000
8/22/02,85.550003,85.550003,85.059998,85.059998,45.175999,34400
8/23/02,85.199997,85.949997,85.199997,85.900002,45.622166,20100
8/26/02,85.699997,86.209999,85.669998,85.980003,45.664661,23900
8/27/02,85.400002,85.68,85.199997,85.440002,45.37788,301800
8/28/02,86.040001,86.18,85.839996,85.870003,45.606258,18100
8/29/02,86.760002,86.860001,86.349998,86.559998,45.972702,135700
8/30/02,86.75,87.129997,86.449997,87.080002,46.248894,78100
9/3/02,87.080002,88.040001,87,88.040001,46.959923,102100
9/4/02,88.029999,88.300003,87.839996,88.019997,46.949188,66300
9/5/02,88.57,88.650002,87.379997,88.5,47.205231,648400
9/6/02,87.970001,88.190002,87.199997,87.459999,46.650528,140000
9/9/02,87.5,87.830002,87.260002,87.330002,46.581158,83800
9/10/02,87.169998,88,87,87.75,46.805218,336000
9/11/02,87,87.300003,86.75,87.290001,46.559853,177700
9/12/02,87.480003,88.139999,87.470001,87.970001,46.922546,43400
9/13/02,88.330002,88.940002,88.18,88.779999,47.354618,155100
9/16/02,89.199997,89.220001,88.900002,88.93,47.43465,73000
9/17/02,88.639999,89.32,88.360001,89.099998,47.525299,75400
9/18/02,89.160004,89.559998,89.019997,89.120003,47.535942,196600
9/19/02,89.699997,89.769997,89.260002,89.720001,47.855965,109900
9/20/02,89.449997,89.519997,89.059998,89.300003,47.631958,113500
9/23/02,90,90.239998,89.769997,90.099998,48.058704,163200
9/24/02,90.300003,90.940002,90.209999,90.68,48.368038,251900
9/25/02,90.099998,90.360001,89.260002,89.580002,47.781315,127200
9/26/02,89.050003,89.529999,88.610001,89.370003,47.669266,429000
9/27/02,89.529999,90.040001,89.480003,90.040001,48.026642,298200
9/30/02,90.660004,90.900002,90.080002,90.400002,48.218719,297800
10/1/02,89.160004,89.300003,88.800003,88.940002,47.620659,257500
10/2/02,89.239998,89.480003,88.839996,89.449997,47.893684,91000
10/3/02,89.300003,89.510002,88.800003,89.230003,47.775909,29900
10/4/02,88.400002,89.720001,88.400002,89.510002,47.925842,131000
10/7/02,89.900002,89.959999,89.459999,89.660004,48.006153,433800
10/8/02,89.5,90.519997,89.360001,89.690002,48.022179,530900
10/9/02,90.300003,90.379997,89.949997,90.150002,48.268494,402900
10/10/02,90.169998,90.169998,89.279999,89.440002,47.888336,97100
10/11/02,89.099998,89.220001,88.059998,88.379997,47.320789,421800
10/14/02,88.5,88.550003,88.07,88.25,47.251186,18300
10/15/02,87,87.300003,86.150002,86.160004,46.132149,297100
10/16/02,86.599998,86.599998,85.889999,86.199997,46.153545,125200
10/17/02,85.139999,85.559998,85.07,85.150002,45.591358,233400
10/18/02,85.019997,85.389999,84.279999,85.370003,45.709167,459100
10/21/02,85.5,85.599998,84.5,84.540001,45.264778,134900
10/22/02,84.849998,84.849998,84.220001,84.300003,45.13628,205000
10/23/02,84.75,85.199997,84.18,84.330002,45.152336,127800
10/24/02,84.160004,85.25,84.080002,85.07,45.548546,339600
10/25/02,85.349998,85.559998,85.150002,85.379997,45.71452,146100
10/28/02,85.559998,85.639999,85.199997,85.260002,45.650284,97800
10/29/02,85.82,86.889999,85.769997,86.370003,46.24456,125000
10/30/02,86.370003,86.68,86.07,86.339996,46.228535,31900
10/31/02,86.050003,86.860001,86.019997,86.730003,46.437336,512700
11/1/02,86.300003,86.93,85.25,85.980003,46.243198,125100
11/4/02,85.480003,85.75,85.25,85.599998,46.03883,342500
11/5/02,85.599998,85.599998,85.089996,85.269997,45.861305,73800
11/6/02,85.050003,86.129997,84.910004,85.610001,46.044174,118500
11/7/02,87.050003,87.730003,86.849998,87.730003,47.18441,147900
11/8/02,88.400002,88.650002,87.949997,88.440002,47.566288,294700
11/11/02,88.550003,88.919998,88.400002,88.919998,47.824451,70000
11/12/02,89.150002,89.150002,88.370003,88.410004,47.550144,494300
11/13/02,88.449997,88.690002,87.959999,88.599998,47.652332,104700
11/14/02,87.650002,87.650002,86.760002,86.760002,46.662682,118000
11/15/02,86.540001,87.230003,86.260002,87.110001,46.850952,110700
11/18/02,87.019997,87.629997,86.959999,87.5,47.060669,32200
11/19/02,87.949997,88.230003,87.510002,87.82,47.232803,51800
11/20/02,88.199997,88.220001,86.809998,86.959999,46.770294,307400
11/21/02,86.5,86.5,85.860001,86.120003,46.318501,323200
11/22/02,86.330002,86.389999,85.879997,86.040001,46.275436,184800
11/25/02,86,86.379997,85.800003,85.879997,46.189407,288200
11/26/02,86.199997,87.019997,86.150002,86.959999,46.770294,377800
11/27/02,86.25,86.330002,84.959999,85,45.71611,325600
11/29/02,85.160004,85.629997,85.139999,85.550003,46.011906,31700
12/2/02,84.360001,85.400002,84.150002,85.239998,46.054604,284900
12/3/02,85.699997,85.699997,85.120003,85.360001,46.119427,113800
12/4/02,85.900002,86,85.550003,85.800003,46.357166,129000
12/5/02,85.279999,86.279999,85.260002,86.019997,46.475994,206400
12/6/02,87,87.089996,85.760002,86.169998,46.557076,440500
12/9/02,86.199997,86.849998,86.169998,86.650002,46.816395,400300
12/10/02,86.610001,86.93,86.5,86.879997,46.940681,151600
12/11/02,87.150002,87.650002,86.959999,87.459999,47.254032,163800
12/12/02,87.059998,87.599998,87.059998,87.379997,47.210815,135800
12/13/02,87.139999,87.160004,86.529999,86.529999,46.751568,425800
12/16/02,86.900002,86.900002,85.839996,85.879997,46.400387,115700
12/17/02,86.300003,86.349998,85.68,85.879997,46.400387,290600
12/18/02,86.480003,86.690002,86.25,86.550003,46.762383,191000
12/19/02,86.800003,87.489998,86.650002,87.32,47.178391,134400
12/20/02,87.230003,87.559998,87.150002,87.379997,47.210815,41900
12/23/02,87.360001,87.400002,86.25,87.400002,47.221642,74200
12/24/02,88,88.080002,87.839996,87.889999,47.486401,46600
12/26/02,87.900002,88.059998,87.730003,88.059998,47.578163,13500
12/27/02,88.550003,89.029999,88.279999,89.029999,48.10231,140200
12/30/02,88.900002,89.239998,88.629997,89.239998,48.215767,274900
12/31/02,88.949997,89.330002,88.32,88.57,48.094128,109400
1/2/03,87.699997,87.900002,86.209999,86.279999,46.850632,192100
1/3/03,86.150002,86.540001,85.830002,86.480003,46.959236,311200
1/6/03,86.169998,86.290001,85.809998,86.25,46.834362,35600
1/7/03,86.190002,86.75,86.169998,86.559998,47.002682,69800
1/8/03,86.879997,87.139999,86.779999,86.989998,47.236176,160100
1/9/03,86.169998,86.169998,85.019997,85.32,46.329395,237500
